timestamp,fps,stall_duration_ms,bitrate_mbps
23.030543088912964,10,0.0,0.0
24.03189778327942,59,0,0.425368
25.03253149986267,60,0,0.430472
26.033279180526733,60,0,0.541712
27.03386902809143,60,0,0.546256
28.03458523750305,54,0,0.702328
29.035723209381104,59,0,0.622104
30.036746501922607,60,0,0.647688
31.038094997406006,60,0,0.84004
32.03935718536377,60,0,1.394016
33.04007649421692,60,0,1.591792
34.04162907600403,59,0,1.820912
35.04300355911255,59,0,1.124168
36.04379963874817,58,0,1.090584
37.044514894485474,60,0,0.743512
38.045207500457764,60,0,0.311976
39.04678297042847,60,0,0.202824
40.04733157157898,60,0,0.523664
41.04858613014221,60,0,1.163264
42.04916191101074,60,0,1.215224
43.05039119720459,54,0,1.467832
44.05199193954468,58,0,1.25044
45.05318784713745,59,0,1.470312
46.05502009391785,60,0,1.806352
47.05688738822937,60,0,1.913552
48.05733394622803,60,0,1.74176
49.05895805358887,59,0,1.882688
50.05957627296448,60,0,1.209744
51.06038689613342,59,0,1.333264
52.060770988464355,59,0,1.12004
53.0615496635437,61,0,1.22312
54.06220245361328,60,0,1.457552
55.06277394294739,60,0,1.340264
56.06368136405945,60,0,1.547104
57.064704179763794,59,0,1.440736
58.06699991226196,49,0,1.384584
59.068002462387085,0,1101.2179851531982,0.0
60.068705320358276,0,1000.7028579711914,0.0
61.070510149002075,0,1001.8048286437988,0.0
